Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Au 242.80,0.088
Columna #2,Au 242.80,0.058
Columna #3,Au 242.80,0.043
Columna #4,Au 242.80,0.025
Columna #5,Au 242.80,0.017
Comp. Cola Columna,Au 242.80,0.014
Barren,Au 242.80,0.018
Celda # 11-A,Au 242.80,0.018
Celda # 11-B,Au 242.80,0.008
Celda # 11-C,Au 242.80,0.015
Comp. Cabeza Columna,Au 242.80,0.119
Cabeza puntual retorno,Au 242.80,0.118
Celda #5-9,Au 242.80,0.062
Celda #(F1+F2),Au 242.80,0.129
Especial 1,Au 242.80,0.068
Especial 2,Au 242.80,0.066
Especial 3,Au 242.80,0.019
Especial 4,Au 242.80,0.047
Especial 5,Au 242.80,0.068
NE Tubo 2,Au 242.80,0.062
NE Tubo 4,Au 242.80,0.163
NE Tubo 5,Au 242.80,0.161
NE Tubo 6,Au 242.80,0.057
NE Tubo 7,Au 242.80,0.148
Puntual Noroeste,Au 242.80,0.129
Tubo 3,Au 242.80,0.13
NE Tubo 1,Au 242.80,0.003
Barren Patios,Au 242.80,0.016
