Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.005
Comp. Cola Columna,Cu 324.75,0.709
Barren,Cu 324.75,0.646
Cabeza puntual retorno,Cu 324.75,0.941
Columna #1,Cu 324.75,0.95
Columna #2,Cu 324.75,0.862
Columna #3,Cu 324.75,0.811
Columna #4,Cu 324.75,0.753
Columna #5,Cu 324.75,0.67
Celda # 11-A,Cu 324.75,3.107
Celda # 11-B,Cu 324.75,0.413
Celda # 11-C,Cu 324.75,0.953
Celda #5-9,Cu 324.75,0.296
Celda #(F1+F2),Cu 324.75,0.865
NE Tubo 1,Cu 324.75,0.753
NE Tubo 2,Cu 324.75,0.054
NE Tubo 4,Cu 324.75,0.402
NE Tubo 5,Cu 324.75,0.07
NE Tubo 6,Cu 324.75,1.533
NE Tubo 7,Cu 324.75,0.22
Puntual Noroeste,Cu 324.75,0.414
Barren Patios,Cu 324.75,0.669
Tubo 3,Cu 324.75,0.279
Especial 1,Cu 324.75,0.132
Especial 2,Cu 324.75,0.405
Especial 3,Cu 324.75,0.058
Especial 4,Cu 324.75,0.068
Especial 5,Cu 324.75,1.873
