Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.318
Comp. Cola Columna,Ag 328.07,0.161
Barren,Ag 328.07,0.177
Cabeza puntual retorno,Ag 328.07,0.305
Columna #1,Ag 328.07,0.279
Columna #2,Ag 328.07,0.273
Columna #3,Ag 328.07,0.267
Columna #4,Ag 328.07,0.244
Columna #5,Ag 328.07,0.207
Celda # 11-A,Ag 328.07,0.03
Celda # 11-B,Ag 328.07,0.023
Celda # 11-C,Ag 328.07,0.083
Celda #5-9,Ag 328.07,0.035
Celda #(F1+F2),Ag 328.07,0.293
NE Tubo 1,Ag 328.07,0.02
NE Tubo 2,Ag 328.07,0.068
NE Tubo 4,Ag 328.07,0.04
NE Tubo 5,Ag 328.07,0.018
NE Tubo 6,Ag 328.07,0.015
NE Tubo 7,Ag 328.07,0.081
Puntual Noroeste,Ag 328.07,0.05
Barren Patios,Ag 328.07,0.144
Tubo 3,Ag 328.07,0.105
Especial 1,Ag 328.07,1.075
Especial 2,Ag 328.07,0.044
Especial 3,Ag 328.07,0.043
Especial 4,Ag 328.07,0.028
Especial 5,Ag 328.07,0.487
