Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.094
Comp. Cola Columna,Au 242.80,0.012
Barren,Au 242.80,0.014
Cabeza puntual retorno,Au 242.80,0.095
Celda # 11-A,Au 242.80,0.004
Celda # 11-B,Au 242.80,0.004
Celda # 11-C,Au 242.80,0.007
Celda # 6-F2,Au 242.80,0.088
Celda #5-9,Au 242.80,0.069
Celda #(F1+F2),Au 242.80,0.097
NE Tubo 1,Au 242.80,0.008
NE Tubo 2,Au 242.80,0.077
NE Tubo 4,Au 242.80,0.144
NE Tubo 5,Au 242.80,0.14
NE Tubo 6,Au 242.80,0.032
NE Tubo 7,Au 242.80,0.06
Puntual Noroeste,Au 242.80,0.089
Barren Patios,Au 242.80,0.007
Tubo 3,Au 242.80,0.079
Especial 1,Au 242.80,0.067
Especial 2,Au 242.80,0.053
Especial 3,Au 242.80,0.01
Especial 4,Au 242.80,0.008
Especial 5,Au 242.80,0.073
