Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.884
Comp. Cola Columna,Cu 324.75,2.051
Barren,Cu 324.75,1.865
Cabeza puntual retorno,Cu 324.75,1.935
Celda # 11-A,Cu 324.75,1.448
Celda # 11-B,Cu 324.75,1.089
Celda # 11-C,Cu 324.75,0.743
Celda # 6-F2,Cu 324.75,0.339
Celda #5-9,Cu 324.75,5.494
Celda #(F1+F2),Cu 324.75,1.984
NE Tubo 1,Cu 324.75,0.072
NE Tubo 2,Cu 324.75,0.22
NE Tubo 4,Cu 324.75,0.768
NE Tubo 5,Cu 324.75,0.753
NE Tubo 6,Cu 324.75,1.937
NE Tubo 7,Cu 324.75,4.849
Puntual Noroeste,Cu 324.75,1.68
Barren Patios,Cu 324.75,1.546
Tubo 3,Cu 324.75,0.998
Especial 1,Cu 324.75,0.327
Especial 2,Cu 324.75,0.067
Especial 3,Cu 324.75,0.077
Especial 4,Cu 324.75,0.1
Especial 5,Cu 324.75,0.051
Especial 6,Cu 324.75,0.02
