Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.113
Comp. Cola Columna,Au 242.80,0.003
Barren,Au 242.80,0.006
Cabeza puntual retorno,Au 242.80,0.108
Celda # 11-A,Au 242.80,0.011
Celda # 11-B,Au 242.80,0.002
Celda # 11-C,Au 242.80,0.002
Celda #5-9,Au 242.80,0.065
Celda #(F1+F2),Au 242.80,0.131
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.073
NE Tubo 4,Au 242.80,0.086
NE Tubo 5,Au 242.80,0.224
NE Tubo 6,Au 242.80,0.136
NE Tubo 7,Au 242.80,0.277
Puntual Noroeste,Au 242.80,0.122
Barren Patios,Au 242.80,0.011
Tubo 3,Au 242.80,0.138
Especial 1,Au 242.80,0.03
Especial 2,Au 242.80,0.072
Especial 3,Au 242.80,0.033
Especial 4,Au 242.80,0.098
Especial 5,Au 242.80,0.076
Especial 6,Au 242.80,0.002
Columna #1,Au 242.80,0.096
Columna #2,Au 242.80,0.057
Columna #3,Au 242.80,0.025
Columna #4,Au 242.80,0.019
Columna #5,Au 242.80,0.007
