Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.094
Comp. Cola Columna,Au 242.80,0.006
Barren,Au 242.80,0.014
Cabeza puntual retorno,Au 242.80,0.092
Celda # 11-A,Au 242.80,0.060
Celda # 11-B,Au 242.80,0.008
Celda # 11-C,Au 242.80,0.009
Celda #5-9,Au 242.80,0.048
Celda #(F1+F2),Au 242.80,0.092
NE Tubo 1,Au 242.80,0.012
NE Tubo 2,Au 242.80,0.092
NE Tubo 4,Au 242.80,0.052
NE Tubo 5,Au 242.80,0.039
NE Tubo 6,Au 242.80,0.025
NE Tubo 7,Au 242.80,0.054
Puntual Noroeste,Au 242.80,0.094
Barren Patios,Au 242.80,0.006
Tubo 3,Au 242.80,0.188
Especial 1,Au 242.80,0.063
Especial 2,Au 242.80,0.055
Especial 3,Au 242.80,0.005
Especial 4,Au 242.80,0.016
Especial 5,Au 242.80,0.060
Columna #1,Au 242.80,0.077
Columna #2,Au 242.80,0.053
Columna #3,Au 242.80,0.037
Columna #4,Au 242.80,0.023
Columna #5,Au 242.80,0.015
,,
