Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.352
Cabeza puntual retorno,Cu 324.75,0.339
Celda #(F1+F2),Cu 324.75,0.351
Puntual Noroeste,Cu 324.75,0.365
Tubo 3,Cu 324.75,0.536
Comp. Cola Columna,Cu 324.75,0.375
Barren,Cu 324.75,0.348
Celda # 11-A,Cu 324.75,0.084
Celda # 11-B,Cu 324.75,0.011
Celda # 11-C,Cu 324.75,0.052
Celda #5-9,Cu 324.75,0.348
NE Tubo 1,Cu 324.75,0.021
NE Tubo 2,Cu 324.75,0.027
NE Tubo 4,Cu 324.75,0.027
NE Tubo 5,Cu 324.75,0.016
NE Tubo 6,Cu 324.75,0.009
NE Tubo 7,Cu 324.75,0.912
Barren Patios,Cu 324.75,0.292
Especial 1,Cu 324.75,0.012
Especial 2,Cu 324.75,0.004
Especial 3,Cu 324.75,0.137
Especial 4,Cu 324.75,0.122
Especial 5,Cu 324.75,0.020
