Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,5.128
Comp. Cola Columna,Cu 324.75,5.197
Barren,Cu 324.75,4.981
Cabeza puntual retorno,Cu 324.75,5.232
Celda # 11-A,Cu 324.75,0.098
Celda # 11-B,Cu 324.75,0.142
Celda # 11-C,Cu 324.75,0.671
Celda #5-9,Cu 324.75,13.23
Celda #(F1+F2),Cu 324.75,4.743
NE Tubo 1,Cu 324.75,0.215
NE Tubo 2,Cu 324.75,0.065
NE Tubo 4,Cu 324.75,0.031
NE Tubo 5,Cu 324.75,0.054
NE Tubo 6,Cu 324.75,0.002
NE Tubo 7,Cu 324.75,1.302
Puntual Noroeste,Cu 324.75,4.251
Barren Patios,Cu 324.75,4.072
Tubo 3,Cu 324.75,6.224
Especial 1,Cu 324.75,6.750
Especial 2,Cu 324.75,6.374
Especial 3,Cu 324.75,0.150
Especial 4,Cu 324.75,0.067
Especial 5,Cu 324.75,5.914
Columna #1,Cu 324.75,4.118
Columna #2,Cu 324.75,4.059
Columna #3,Cu 324.75,3.992
Columna #4,Cu 324.75,4.010
Columna #5,Cu 324.75,3.938
