Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.71
Comp. Cola Columna,Cu 324.75,1.807
Barren,Cu 324.75,1.753
Cabeza puntual retorno,Cu 324.75,1.665
Celda # 11-A,Cu 324.75,2.002
Celda # 11-B,Cu 324.75,1.479
Celda # 11-C,Cu 324.75,2.447
Celda #5-9,Cu 324.75,4.517
Celda #(F1+F2),Cu 324.75,1.758
NE Tubo 1,Cu 324.75,0.135
NE Tubo 2,Cu 324.75,0.545
NE Tubo 4,Cu 324.75,2.598
NE Tubo 5,Cu 324.75,2.388
NE Tubo 6,Cu 324.75,2.659
NE Tubo 7,Cu 324.75,3.408
Puntual Noroeste,Cu 324.75,1.66
Barren Patios,Cu 324.75,1.575
Tubo 3,Cu 324.75,0.489
Especial 1,Cu 324.75,0.443
Especial 2,Cu 324.75,0.171
Especial 3,Cu 324.75,0.183
Especial 4,Cu 324.75,0.248
Especial 5,Cu 324.75,0.193
Especial 6,Cu 324.75,0.151
Columna #1,Cu 324.75,1.614
Columna #2,Cu 324.75,1.584
Columna #3,Cu 324.75,1.531
Columna #4,Cu 324.75,1.545
Columna #5,Cu 324.75,1.516
