Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.165
Comp. Cola Columna,Au 242.80,0.011
Barren,Au 242.80,0.006
Cabeza puntual retorno,Au 242.80,0.168
Columna #1,Au 242.80,0.128
Columna #2,Au 242.80,0.081
Columna #3,Au 242.80,0.052
Columna #4,Au 242.80,0.024
Columna #5,Au 242.80,0.021
Celda # 11-A,Au 242.80,0.09
Celda # 11-B,Au 242.80,0.203
Celda # 11-C,Au 242.80,0.13
Celda #5-9,Au 242.80,0.005
Celda #(F1+F2),Au 242.80,0.163
NE Tubo 1,Au 242.80,0.163
NE Tubo 2,Au 242.80,0.104
NE Tubo 4,Au 242.80,0.168
NE Tubo 5,Au 242.80,0.105
NE Tubo 6,Au 242.80,0.053
NE Tubo 7,Au 242.80,0.175
Puntual Noroeste,Au 242.80,0.178
Barren Patios,Au 242.80,0.032
Tubo 3,Au 242.80,0.239
Especial 1,Au 242.80,0.06
Especial 2,Au 242.80,0.036
Especial 3,Au 242.80,0.037
Especial 4,Au 242.80,0.041
Especial 5,Au 242.80,0.041
