Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,4.886
Cabeza puntual retorno,Cu 324.75,4.770
Celda #(F1+F2),Cu 324.75,5.233
Puntual Noroeste,Cu 324.75,5.272
Barren Patios,Cu 324.75,4.614
Tubo 3,Cu 324.75,2.122
Comp. Cola Columna,Cu 324.75,4.803
Barren,Cu 324.75,4.951
Celda # 11-A,Cu 324.75,2.531
Celda # 11-B,Cu 324.75,0.059
Celda # 11-C,Cu 324.75,0.402
Celda #5-9,Cu 324.75,0.610
NE Tubo 1,Cu 324.75,0.051
NE Tubo 2,Cu 324.75,0.085
NE Tubo 4,Cu 324.75,1.813
NE Tubo 5,Cu 324.75,4.930
NE Tubo 6,Cu 324.75,0.396
NE Tubo 7,Cu 324.75,19.59
Especial 1,Cu 324.75,0.085
Especial 2,Cu 324.75,0.042
Especial 3,Cu 324.75,0.217
Especial 4,Cu 324.75,1.070
Especial 5,Cu 324.75,0.067
Columna #1,Cu 324.75,4.438
Columna #2,Cu 324.75,4.035
Columna #3,Cu 324.75,3.838
Columna #4,Cu 324.75,3.646
Columna #5,Cu 324.75,3.527
