Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.375
Comp. Cola Columna,Cu 324.75,0.415
Barren,Cu 324.75,0.38
Cabeza puntual retorno,Cu 324.75,0.332
Celda # 11-A,Cu 324.75,0.092
Celda # 11-B,Cu 324.75,0.051
Celda # 11-C,Cu 324.75,0.238
Celda #5-9,Cu 324.75,1.954
Celda #(F1+F2),Cu 324.75,0.285
NE Tubo 1,Cu 324.75,0.036
NE Tubo 2,Cu 324.75,0.128
NE Tubo 4,Cu 324.75,0.24
NE Tubo 5,Cu 324.75,0.112
NE Tubo 6,Cu 324.75,0.184
NE Tubo 7,Cu 324.75,0.171
Puntual Noroeste,Cu 324.75,0.206
Barren Patios,Cu 324.75,0.375
Tubo 3,Cu 324.75,0.224
Especial 1,Cu 324.75,0.112
Especial 2,Cu 324.75,0.082
Especial 3,Cu 324.75,0.093
Especial 4,Cu 324.75,0.116
Especial 5,Cu 324.75,0.191
Especial 6,Cu 324.75,0.044
Columna #1,Cu 324.75,0.351
Columna #2,Cu 324.75,0.363
Columna #3,Cu 324.75,0.382
Columna #4,Cu 324.75,0.398
Columna #5,Cu 324.75,0.408
