Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.088
Comp. Cola Columna,Au 242.80,0.008
Barren,Au 242.80,0.01
Cabeza puntual retorno,Au 242.80,0.086
Columna #1,Au 242.80,0.079
Columna #2,Au 242.80,0.057
Columna #3,Au 242.80,0.045
Columna #4,Au 242.80,0.034
Columna #5,Au 242.80,0.009
Celda # 11-A,Au 242.80,0.055
Celda # 11-B,Au 242.80,0.001
Celda # 11-C,Au 242.80,0.015
Celda #5-9,Au 242.80,0.109
Celda #(F1+F2),Au 242.80,0.056
NE Tubo 1,Au 242.80,0.003
NE Tubo 2,Au 242.80,0.048
NE Tubo 4,Au 242.80,0.09
NE Tubo 5,Au 242.80,0.055
NE Tubo 6,Au 242.80,0.046
NE Tubo 7,Au 242.80,0.042
Puntual Noroeste,Au 242.80,0.067
Barren Patios,Au 242.80,0.009
Tubo 3,Au 242.80,0.045
Especial 1,Au 242.80,0.299
Especial 2,Au 242.80,0.321
Especial 3,Au 242.80,0.06
Especial 4,Au 242.80,0.139
Especial 5,Au 242.80,0.175
Especial 6,Au 242.80,0.01
