Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.07
Cabeza puntual retorno,Au 242.80,0.067
Columna #1,Au 242.80,0.054
Columna #2,Au 242.80,0.047
Columna #3,Au 242.80,0.029
Columna #4,Au 242.80,0.02
Columna #5,Au 242.80,0.011
Celda # 11-A,Au 242.80,0.091
Celda #5-9,Au 242.80,0.045
Celda #(F1+F2),Au 242.80,0.059
NE Tubo 6,Au 242.80,0.087
NE Tubo 7,Au 242.80,0.106
Puntual Noroeste,Au 242.80,0.061
Tubo 3,Au 242.80,0.069
Especial 1,Au 242.80,0.194
Especial 2,Au 242.80,0.241
Especial 5,Au 242.80,0.172
NE Tubo 2,Au 242.80,0.027
NE Tubo 4,Au 242.80,0.019
NE Tubo 5,Au 242.80,0.021
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.01
Celda # 11-B,Au 242.80,0.003
Celda # 11-C,Au 242.80,0.015
NE Tubo 1,Au 242.80,0.009
Barren Patios,Au 242.80,0.013
Especial 3,Au 242.80,0.013
Especial 4,Au 242.80,0.026
Especial 6,Au 242.80,0.004
