Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.082
Comp. Cola Columna,Cu 324.75,1.068
Barren,Cu 324.75,1.099
Cabeza puntual retorno,Cu 324.75,1.101
Celda # 11-A,Cu 324.75,1.923
Celda # 11-B,Cu 324.75,0.138
Celda # 11-C,Cu 324.75,0.126
Celda #5-9,Cu 324.75,0.036
Celda #(F1+F2),Cu 324.75,0.938
NE Tubo 1,Cu 324.75,0.036
NE Tubo 2,Cu 324.75,0.213
NE Tubo 4,Cu 324.75,0.185
NE Tubo 5,Cu 324.75,0.12
NE Tubo 6,Cu 324.75,0.115
NE Tubo 7,Cu 324.75,0.313
Puntual Noroeste,Cu 324.75,0.833
Barren Patios,Cu 324.75,1.097
Tubo 3,Cu 324.75,2.206
Especial 1,Cu 324.75,0.131
Especial 2,Cu 324.75,0.021
Especial 3,Cu 324.75,1.693
Especial 4,Cu 324.75,3.694
Especial 5,Cu 324.75,1.487
Columna #1,Cu 324.75,1.022
Columna #2,Cu 324.75,1.001
Columna #3,Cu 324.75,0.993
Columna #4,Cu 324.75,0.986
Columna #5,Cu 324.75,0.951
