Analyst,,,,,
Date Started,9/26/2024 2:15 PM  GMT: 9/26/2024 9:15 PM,,,,
Worksheet,EXP000090-RE_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
9/26/2024,2:21:26 PM,PATRON,0.8963,,mg/L
9/26/2024,2:21:48 PM,BLANCO,-0.0036,,mg/L
9/26/2024,2:21:58 PM,REAGENT BLANK,0,,mg/L
9/26/2024,2:22:14 PM,EXP000081-011,1.0343,,mg/L
9/26/2024,2:22:32 PM,EXP000081-012,0.0736,,mg/L
9/26/2024,2:22:50 PM,EXP000081-013,0.1542,,mg/L
9/26/2024,2:23:06 PM,EXP000081-014,0.1377,,mg/L
9/26/2024,2:23:22 PM,EXP000081-015,0.0837,,mg/L
9/26/2024,2:23:38 PM,EXP000081-017,0.1001,,mg/L
9/26/2024,2:23:58 PM,PATRON,0.8779,,mg/L
9/26/2024,2:24:18 PM,EXP000081-018,0.0385,,mg/L
9/26/2024,2:24:58 PM,PATRON,0.8856,,mg/L
9/26/2024,2:25:12 PM,BLANCO,-0.0081,,mg/L
,,,,,
,,,,,
