Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.214
Cabeza puntual retorno,Cu 324.75,0.596
Celda #(F1+F2),Cu 324.75,0.436
Puntual Noroeste,Cu 324.75,0.538
Tubo 3,Cu 324.75,0.576
Comp. Cola Columna,Cu 324.75,0.407
Barren,Cu 324.75,0.444
Celda # 11-A,Cu 324.75,0.075
Celda # 11-B,Cu 324.75,0.062
Celda # 11-C,Cu 324.75,0.076
Celda #5-9,Cu 324.75,0.047
NE Tubo 1,Cu 324.75,0.185
NE Tubo 2,Cu 324.75,0.059
NE Tubo 4,Cu 324.75,0.147
NE Tubo 5,Cu 324.75,0.040
NE Tubo 6,Cu 324.75,0.044
NE Tubo 7,Cu 324.75,32.29
Barren Patios,Cu 324.75,0.533
Especial 1,Cu 324.75,0.060
Especial 2,Cu 324.75,0.069
Especial 3,Cu 324.75,0.088
Especial 4,Cu 324.75,0.098
Especial 5,Cu 324.75,1.004
Columna #1,Cu 324.75,0.398
Columna #2,Cu 324.75,0.432
Columna #3,Cu 324.75,0.491
Columna #4,Cu 324.75,0.536
Columna #5,Cu 324.75,0.533
