Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.095
Comp. Cola Columna,Au 242.80,0.007
Barren,Au 242.80,0.018
Cabeza puntual retorno,Au 242.80,0.094
Celda # 11-A,Au 242.80,0.071
Celda # 11-B,Au 242.80,0.036
Celda # 11-C,Au 242.80,0.048
Celda # 6-F2,Au 242.80,0.092
Celda #5-9,Au 242.80,0.051
Celda #(F1+F2),Au 242.80,0.092
NE Tubo 1,Au 242.80,0.005
NE Tubo 2,Au 242.80,0.061
NE Tubo 4,Au 242.80,0.052
NE Tubo 5,Au 242.80,0.018
NE Tubo 6,Au 242.80,0.020
NE Tubo 7,Au 242.80,0.072
Puntual Noroeste,Au 242.80,0.093
Barren Patios,Au 242.80,0.019
Tubo 3,Au 242.80,0.140
Especial 1,Au 242.80,0.125
Especial 2,Au 242.80,0.033
Especial 3,Au 242.80,0.002
Especial 4,Au 242.80,0.004
Especial 5,Au 242.80,0.045
