Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.148
Cabeza puntual retorno,Au 242.80,0.148
Celda #(F1+F2),Au 242.80,0.147
Puntual Noroeste,Au 242.80,0.167
Tubo 3,Au 242.80,0.117
NE Tubo 2,Au 242.80,0.089
NE Tubo 4,Au 242.80,0.293
Especial 1,Au 242.80,0.048
Especial 2,Au 242.80,0.043
Especial 3,Au 242.80,0.099
Especial 4,Au 242.80,0.093
Especial 5,Au 242.80,0.044
Columna #1,Au 242.80,0.093
Columna #2,Au 242.80,0.058
Columna #3,Au 242.80,0.036
Columna #4,Au 242.80,0.012
Columna #5,Au 242.80,0.007
Comp. Cola Columna,Au 242.80,0.008
Barren,Au 242.80,0.012
Barren Patios,Au 242.80,0.013
NE Tubo 1,Au 242.80,0.009
NE Tubo 5,Au 242.80,0.311
NE Tubo 6,Au 242.80,0.288
NE Tubo 7,Au 242.80,0.056
Celda # 11-A,Au 242.80,0.219
Celda # 11-B,Au 242.80,0.102
Celda # 11-C,Au 242.80,0.041
Celda #5-9,Au 242.80,0.044
