Sample ID,Analyte Name,Reported Conc (Samp)
52,Cu 324.75,0.064
53,Cu 324.75,0.114
54,Cu 324.75,0.169
55,Cu 324.75,0.042
56,Cu 324.75,0.780
57,Cu 324.75,0.321
58,Cu 324.75,0.609
59,Cu 324.75,0.194
62,Cu 324.75,3.548
63,Cu 324.75,2.948
COL. 1,Cu 324.75,0.388
COL. 2,Cu 324.75,0.347
COL. 3,Cu 324.75,0.996
COL. 4,Cu 324.75,1.857
COL. 5,Cu 324.75,5.118
COL. 6,Cu 324.75,6.646
375-1,Cu 324.75,0.370
375-2,Cu 324.75,0.008
375-3,Cu 324.75,0.265
375-4,Cu 324.75,0.086
VM 1,Cu 324.75,0.338
VM 2,Cu 324.75,0.226
VM 3,Cu 324.75,0.287
VM 4,Cu 324.75,3.111
VM 5,Cu 324.75,6.986
VM 6,Cu 324.75,0.255
VM 7,Cu 324.75,0.119
VM 8,Cu 324.75,0.274
VM 9,Cu 324.75,0.240
