Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.595
Cabeza puntual retorno,Cu 324.75,0.540
Celda #(F1+F2),Cu 324.75,0.296
Puntual Noroeste,Cu 324.75,0.291
Tubo 3,Cu 324.75,0.229
Comp. Cola Columna,Cu 324.75,0.545
Barren,Cu 324.75,0.498
Celda # 11-A,Cu 324.75,0.067
Celda # 11-B,Cu 324.75,0.159
Celda # 11-C,Cu 324.75,1.225
Celda # 6-F2,Cu 324.75,0.104
Celda #5-9,Cu 324.75,7.563
NE Tubo 1,Cu 324.75,0.078
NE Tubo 2,Cu 324.75,0.075
NE Tubo 4,Cu 324.75,0.329
NE Tubo 5,Cu 324.75,0.032
NE Tubo 6,Cu 324.75,0.022
NE Tubo 7,Cu 324.75,0.735
Barren Patios,Cu 324.75,0.609
Especial 1,Cu 324.75,1.354
Especial 2,Cu 324.75,1.897
Especial 3,Cu 324.75,0.036
Especial 4,Cu 324.75,0.048
Especial 5,Cu 324.75,0.854
