Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.106
Comp. Cola Columna,Cu 324.75,0.654
Barren,Cu 324.75,0.732
Cabeza puntual retorno,Cu 324.75,1.14
Celda # 11-A,Cu 324.75,4.259
Celda # 11-B,Cu 324.75,0.413
Celda # 11-C,Cu 324.75,0.278
Celda # 6-F2,Cu 324.75,0.191
Celda #5-9,Cu 324.75,0.12
Celda #(F1+F2),Cu 324.75,0.962
NE Tubo 1,Cu 324.75,0.129
NE Tubo 2,Cu 324.75,0.961
NE Tubo 4,Cu 324.75,0.329
NE Tubo 5,Cu 324.75,0.528
NE Tubo 6,Cu 324.75,0.43
NE Tubo 7,Cu 324.75,0.481
Puntual Noroeste,Cu 324.75,0.904
Barren Patios,Cu 324.75,0.677
Tubo 3,Cu 324.75,1.804
Especial 1,Cu 324.75,0.307
Especial 2,Cu 324.75,0.133
Especial 3,Cu 324.75,0.779
Especial 4,Cu 324.75,0.933
Especial 5,Cu 324.75,0.19
Especial 6,Cu 324.75,0.228
