Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.594
Comp. Cola Columna,Cu 324.75,0.502
Barren,Cu 324.75,0.543
Cabeza puntual retorno,Cu 324.75,0.614
Celda # 11-A,Cu 324.75,0.522
Celda # 11-B,Cu 324.75,0.099
Celda # 11-C,Cu 324.75,0.128
Celda # 6-F2,Cu 324.75,0.057
Celda #5-9,Cu 324.75,0.809
Celda #(F1+F2),Cu 324.75,0.624
NE Tubo 1,Cu 324.75,0.028
NE Tubo 2,Cu 324.75,0.462
NE Tubo 4,Cu 324.75,0.671
NE Tubo 5,Cu 324.75,0.050
NE Tubo 6,Cu 324.75,0.032
NE Tubo 7,Cu 324.75,2.226
Puntual Noroeste,Cu 324.75,0.667
Barren Patios,Cu 324.75,0.603
Tubo 3,Cu 324.75,0.518
Especial 1,Cu 324.75,0.225
Especial 2,Cu 324.75,0.110
Especial 3,Cu 324.75,0.077
Especial 4,Cu 324.75,0.069
Especial 5,Cu 324.75,0.069
