Analyst,,,,,,
Date Started,4/15/2025 9:44 AM  GMT: 4/15/2025 4:44 PM,,,,,
Worksheet,LC004235-RE_24,,,,,
Comment,,,,,,
Methods,Au,,,,,
,,,,,,
Method: Au ACIDO (Flame),,,,,,
,,,,,,
4/15/2025,9:53:46 AM,PATRON,0.9006,,mg/L,0.3
4/15/2025,9:54:00 AM,BLANCO,0.0024,,mg/L,49.3
4/15/2025,9:54:12 AM,REAGENT BLANK,0,,mg/L,>100
4/15/2025,9:54:30 AM,LC004231-002,0.0776,,mg/L,1.9
4/15/2025,9:54:46 AM,LC004231-003,0.0746,,mg/L,0.6
4/15/2025,9:55:04 AM,LC004231-004,0.0776,,mg/L,0.7
4/15/2025,9:55:38 AM,LC004231-007,0.2265,,mg/L,1
4/15/2025,9:55:56 AM,LC004231-008,0.3229,,mg/L,0.4
4/15/2025,9:57:12 AM,PATRON,0.9034,,mg/L,0.5
4/15/2025,9:57:32 AM,LC004231-010,0.387,,mg/L,1
4/15/2025,9:57:48 AM,PATRON,0.8987,,mg/L,0.7
4/15/2025,9:58:02 AM,BLANCO,0.0074,,mg/L,31.8
4/15/2025,9:58:14 AM,REAGENT BLANK,0,,mg/L,28.3
4/15/2025,9:59:14 AM,LC004231-006,0.94,,mg/L,2.3
