Analyst,Judas Orduño,,,,
Date Started,10/06/2023 9:45 PM  GMT: 10/6/2023 9:59 PM,,,,
Worksheet,LC000463_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
10/06/2023,9:45:30 p.m,PATRON,0.924,,mg/L
10/06/2023,9:45:30 p.m,BLANCO,0.003,,mg/L
10/06/2023,9:45:30 p.m,REAGENT BLANK,-0.005,,mg/L
10/06/2023,9:45:30 p.m,LC000463-001,0.008,,mg/L
10/06/2023,9:45:30 p.m,LC000463-002,0.005,,mg/L
10/06/2023,9:45:30 p.m,LC000463-003,0.003,,mg/L
10/06/2023,9:45:30 p.m,LC000463-004,0.005,,mg/L
10/06/2023,9:45:30 p.m,LC000463-005,0.003,,mg/L
10/06/2023,9:45:30 p.m,LC000463-006,0.119,,mg/L
10/06/2023,9:45:30 p.m,PATRON,0.909,,mg/L
10/06/2023,9:45:30 p.m,LC000463-007,0.004,,mg/L
10/06/2023,9:45:30 p.m,LC000463-008,0.001,,mg/L
10/06/2023,9:45:30 p.m,LC000463-009,0.004,,mg/L
10/06/2023,9:45:30 p.m,LC000463-010,0.004,,mg/L
10/06/2023,9:45:30 p.m,LC000463-011,0.004,,mg/L
10/06/2023,9:45:30 p.m,LC000463-012,0.003,,mg/L
10/06/2023,9:45:30 p.m,PATRON,0.891,,mg/L
10/06/2023,9:45:30 p.m,LC000463-013,0.005,,mg/L
10/06/2023,9:45:30 p.m,LC000463-014,0.002,,mg/L
10/06/2023,9:45:30 p.m,PATRON,0.879,,mg/L
