Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.437
Comp. Cola Columna,Cu 324.75,0.898
Barren,Cu 324.75,0.923
Cabeza puntual retorno,Cu 324.75,1.479
Celda # 11-A,Cu 324.75,10.38
Celda # 11-B,Cu 324.75,1.891
Celda # 11-C,Cu 324.75,3.913
Celda # 6-F2,Cu 324.75,0.122
Celda #5-9,Cu 324.75,0.059
Celda #(F1+F2),Cu 324.75,1.403
NE Tubo 1,Cu 324.75,0.03
NE Tubo 2,Cu 324.75,1.461
NE Tubo 4,Cu 324.75,0.436
NE Tubo 5,Cu 324.75,0.596
NE Tubo 6,Cu 324.75,0.55
NE Tubo 7,Cu 324.75,0.599
Puntual Noroeste,Cu 324.75,1.483
Barren Patios,Cu 324.75,1.134
Tubo 3,Cu 324.75,3.354
Especial 1,Cu 324.75,0.378
Especial 2,Cu 324.75,0.06
Especial 3,Cu 324.75,0.401
Especial 4,Cu 324.75,0.797
Especial 5,Cu 324.75,0.104
Especial 6,Cu 324.75,0.319
