Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.473
Comp. Cola Columna,Cu 324.75,1.448
Barren,Cu 324.75,1.732
Cabeza puntual retorno,Cu 324.75,1.711
Celda # 11-A,Cu 324.75,1.703
Celda # 11-B,Cu 324.75,2.038
Celda # 11-C,Cu 324.75,2.968
Celda #5-9,Cu 324.75,4.171
Celda #(F1+F2),Cu 324.75,2.037
NE Tubo 1,Cu 324.75,0.388
NE Tubo 2,Cu 324.75,0.99
NE Tubo 4,Cu 324.75,3.436
NE Tubo 5,Cu 324.75,3.558
NE Tubo 6,Cu 324.75,3.54
NE Tubo 7,Cu 324.75,2.354
Puntual Noroeste,Cu 324.75,1.994
Barren Patios,Cu 324.75,0.647
Tubo 3,Cu 324.75,0.705
Especial 1,Cu 324.75,0.441
Especial 2,Cu 324.75,0.465
Especial 3,Cu 324.75,0.495
Especial 4,Cu 324.75,0.286
Especial 5,Cu 324.75,0.474
Especial 6,Cu 324.75,0.442
Columna #1,Cu 324.75,1.621
Columna #2,Cu 324.75,1.565
Columna #3,Cu 324.75,1.531
Columna #4,Cu 324.75,1.46
Columna #5,Cu 324.75,1.39
