Sample ID,Analyte Name,Reported Conc (Samp)
COMPARACION AGLOMERADO,Au,0.202
COMPARACION AGLOMERADO-002,Au,0.302
COMPARACION AGLOMERADO,Ag,2.23
COMPARACION AGLOMERADO-002,Ag,2.32
COMPARACION AGLOMERADO,Cu,10.84
COMPARACION AGLOMERADO-002,Cu,11.12
