Analyst,,,,,
Date Started,9/16/2024 3:24 PM  GMT: 9/16/2024 10:24 PM,,,,
Worksheet,EXP000030_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
9/16/2024,4:22:28 PM,REAGENT BLANK,0,,mg/L
9/16/2024,4:23:04 PM,BLANCO,-0.062,,mg/L
9/16/2024,4:23:24 PM,EXP000030-001,0.2754,,mg/L
9/16/2024,4:23:36 PM,EXP000030-002,-0.0125,,mg/L
9/16/2024,4:23:48 PM,EXP000030-003,0.0575,,mg/L
9/16/2024,4:24:14 PM,EXP000030-005,0.4546,,mg/L
9/16/2024,4:24:30 PM,EXP000030-006,1.0257,,mg/L
9/16/2024,4:24:44 PM,PATRON,0.9093,,mg/L
9/16/2024,4:25:04 PM,EXP000030-007,0.1507,,mg/L
9/16/2024,4:25:16 PM,EXP000030-008,0.131,,mg/L
9/16/2024,4:25:28 PM,EXP000030-009,0.0898,,mg/L
9/16/2024,4:25:40 PM,EXP000030-010,0.1124,,mg/L
9/16/2024,4:25:54 PM,EXP000030-011,0.4294,,mg/L
9/16/2024,4:26:04 PM,EXP000030-012,0.0477,,mg/L
9/16/2024,4:26:44 PM,PATRON,0.9187,,mg/L
9/16/2024,4:27:14 PM,EXP000030-014,0.0445,,mg/L
9/16/2024,4:27:26 PM,EXP000030-015,0.0145,,mg/L
9/16/2024,4:27:40 PM,EXP000030-016,0.1069,,mg/L
9/16/2024,4:28:06 PM,EXP000030-018,0.552,,mg/L
9/16/2024,4:28:32 PM,EXP000030-013,0.0228,,mg/L
9/16/2024,4:30:58 PM,PATRON,0.8959,,mg/L
9/16/2024,4:31:24 PM,EXP000030-017,0.4221,,mg/L
9/16/2024,4:31:36 PM,EXP000030-019,1.4077,,mg/L
9/16/2024,4:31:50 PM,EXP000030-020,-0.003,,mg/L
9/16/2024,4:32:20 PM,EXP000030-023,1.6093,,mg/L
9/16/2024,4:32:32 PM,EXP000030-024,1.1289,,mg/L
9/17/2024,8:22:18 AM,PATRON,0.9212,,mg/L
9/17/2024,8:22:42 AM,EXP00003-004,OVER,R,mg/L
9/17/2024,8:23:06 AM,EXP00003-021,OVER,R,mg/L
9/17/2024,8:23:16 AM,EXP00003-022,OVER,R,mg/L
9/17/2024,8:23:16 AM,PATRON,,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
,,,,,
,,,,,
9/16/2024,5:02:38 PM,EXP000030-004,1.6918,,mg/L
9/16/2024,5:03:02 PM,EXP000030-022,1.8603,,mg/L
9/17/2024,8:29:26 AM,EXP000030-021,15.0569,,mg/L
9/17/2024,8:29:26 AM,PATRON,,,mg/L
