Analyst,,,,,
Date Started,4/29/2023 12:17 AM  GMT: 4/29/2023 7:17 AM,,,,
Worksheet,LC000515_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
4/29/2023,01:11:24 a. m.,PATRON,0.896,,mg/L
4/29/2023,01:11:38 a. m.,BLANCO,-0.003,,mg/L
4/29/2023,01:11:52 a. m.,REAGENT BLANK,-0.011,,mg/L
4/29/2023,01:12:06 a. m.,LC000515-001,0.982,,mg/L
4/29/2023,01:12:18 a. m.,LC000515-002,0.350,,mg/L
4/29/2023,01:12:30 a. m.,LC000515-003,1.432,,mg/L
4/29/2023,01:12:46 a. m.,LC000515-004,0.414,,mg/L
4/29/2023,01:12:56 a. m.,LC000515-005,2.150,,mg/L
4/29/2023,01:11:24 a. m.,LC000515-006,0.041,,mg/L
4/29/2023,01:11:38 a. m.,PATRON,0.907,,mg/L
4/29/2023,01:11:52 a. m.,LC000515-007,0.118,,mg/L
4/29/2023,01:12:06 a. m.,LC000515-008,1.001,,mg/L
4/29/2023,01:12:18 a. m.,LC000515-009,0.489,,mg/L
4/29/2023,01:12:30 a. m.,LC000515-010,0.425,,mg/L
4/29/2023,01:12:46 a. m.,LC000515-011,0.701,,mg/L
4/29/2023,01:12:56 a. m.,LC000515-012,1.624,,mg/L
4/29/2023,01:11:24 a. m.,PATRON,0.897,,mg/L
4/29/2023,01:11:38 a. m.,LC000515-013,0.420,,mg/L
4/29/2023,01:11:52 a. m.,LC000515-014,0.192,,mg/L
4/29/2023,01:12:06 a. m.,LC000515-015,0.010,,mg/L
4/29/2023,01:12:18 a. m.,LC000515-016,0.008,,mg/L
4/29/2023,01:12:30 a. m.,LC000515-017,0.208,,mg/L
4/29/2023,01:12:46 a. m.,LC000515-018,0.018,,mg/L
4/29/2023,01:12:56 a. m.,PATRON,0.897,,mg/L
4/29/2023,01:11:24 a. m.,LC000515-019,0.039,,mg/L
4/29/2023,01:11:38 a. m.,LC000515-020,0.211,,mg/L
4/29/2023,01:11:52 a. m.,LC000515-021,0.051,,mg/L
4/29/2023,01:12:06 a. m.,LC000515-022,0.962,,mg/L
4/29/2023,01:12:20 a. m.,LC000515-023,0.086,,mg/L
4/29/2023,01:12:34 a. m.,LC000515-024,0.001,,mg/L
4/29/2023,01:12:48 a. m.,PATRON,0.890,,
,,,,,
Method: Au ALTA (Flame),,,,,
