Analyst,Judas,,,,
Date Started,26/07/2023,,,,
Worksheet,LC000795-RE_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
26/07/2023,09:30:24 a. m.,PATRON,0.88,,mg/L
26/07/2023,09:30:44 a. m.,BLANCO,-0.001,,mg/L
26/07/2023,09:31:04 a. m.,REAGENT BLANK,0,,mg/L
26/07/2023,09:31:24 a. m.,LC000784-001,0.025838059,,mg/L
26/07/2023,09:31:44 a. m.,LC000784-002,0.087320417,,mg/L
26/07/2023,09:32:04 a. m.,LC000784-003,0.027909758,,mg/L
26/07/2023,09:32:24 a. m.,LC000784-004,0.020755774,,mg/L
26/07/2023,09:32:44 a. m.,LC000784-005,0.000658892,,mg/L
26/07/2023,09:33:04 a. m.,LC000784-006,0.03166139,,mg/L
26/07/2023,09:33:24 a. m.,PATRON,0.885,,mg/L
26/07/2023,09:33:44 a. m.,PATRON,0.885,,mg/L
26/07/2023,09:34:04 a. m.,BLANCO,0,,mg/L
26/07/2023,09:34:24 a. m.,REAGENT BLANK,0.001,,mg/L
