Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.968
Comp. Cola Columna,Cu 324.75,0.962
Barren,Cu 324.75,0.96
Cabeza puntual retorno,Cu 324.75,0.945
Celda # 11-A,Cu 324.75,0.486
Celda # 11-B,Cu 324.75,0.619
Celda # 11-C,Cu 324.75,1.882
Celda #5-9,Cu 324.75,2.812
Celda #(F1+F2),Cu 324.75,0.965
NE Tubo 1,Cu 324.75,0.129
NE Tubo 2,Cu 324.75,0.464
NE Tubo 4,Cu 324.75,0.563
NE Tubo 5,Cu 324.75,0.186
NE Tubo 6,Cu 324.75,0.996
NE Tubo 7,Cu 324.75,3.478
Puntual Noroeste,Cu 324.75,0.996
Barren Patios,Cu 324.75,0.927
Tubo 3,Cu 324.75,0.991
Especial 1,Cu 324.75,1.863
Especial 2,Cu 324.75,0.182
Especial 3,Cu 324.75,0.205
Especial 4,Cu 324.75,0.244
Especial 5,Cu 324.75,0.279
Columna #1,Cu 324.75,0.979
Columna #2,Cu 324.75,1.007
Columna #3,Cu 324.75,1.013
Columna #4,Cu 324.75,1.005
Columna #5,Cu 324.75,0.99
