Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cab Columna,Cu 324.75,0.823
Comp. Cola Columna,Cu 324.75,0.747
Barren,Cu 324.75,0.713
Cabeza puntual retorno,Cu 324.75,0.857
Celda # 11-A,Cu 324.75,0.506
Celda # 11-B,Cu 324.75,0.238
Celda # 11-C,Cu 324.75,20.77
Celda # 6-F2,Cu 324.75,0.397
Celda #5-9,Cu 324.75,2.066
Celda #(F1+F2),Cu 324.75,0.737
NE Tubo 1,Cu 324.75,0.1
NE Tubo 2,Cu 324.75,0.36
NE Tubo 4,Cu 324.75,0.237
NE Tubo 5,Cu 324.75,0.153
NE Tubo 6,Cu 324.75,0.879
NE Tubo 7,Cu 324.75,0.534
Puntual Noroeste,Cu 324.75,0.641
Barren Patios,Cu 324.75,0.713
Tubo 3,Cu 324.75,0.969
Especial 1,Cu 324.75,4.009
Especial 2,Cu 324.75,0.187
Especial 3,Cu 324.75,0.143
Especial 4,Cu 324.75,0.176
Especial 5,Cu 324.75,0.174
Especial 6,Cu 324.75,0.139
