Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,4.704
Comp. Cola Columna,Cu 324.75,4.848
Barren,Cu 324.75,4.569
Cabeza puntual retorno,Cu 324.75,4.679
Celda # 11-A,Cu 324.75,2.615
Celda # 11-B,Cu 324.75,0.173
Celda # 11-C,Cu 324.75,0.586
Celda # 6-F2,Cu 324.75,0.054
Celda #5-9,Cu 324.75,0.533
Celda #(F1+F2),Cu 324.75,4.833
NE Tubo 1,Cu 324.75,0.148
NE Tubo 2,Cu 324.75,0.053
NE Tubo 4,Cu 324.75,0.883
NE Tubo 5,Cu 324.75,4.682
NE Tubo 6,Cu 324.75,0.515
NE Tubo 7,Cu 324.75,18.68
Puntual Noroeste,Cu 324.75,5.882
Barren Patios,Cu 324.75,4.973
Tubo 3,Cu 324.75,3.448
Especial 1,Cu 324.75,0.137
Especial 2,Cu 324.75,0.05
Especial 3,Cu 324.75,0.19
Especial 4,Cu 324.75,0.981
Especial 5,Cu 324.75,0.088
Especial 6,Cu 324.75,0.082
Pileta Patio,Cu 324.75,0.525
