Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Cu 324.75,1.343
Columna #2,Cu 324.75,1.355
Columna #3,Cu 324.75,1.390
Columna #4,Cu 324.75,1.442
Comp. Cabeza Columna,Cu 324.75,1.388
Comp. Cola Columna,Cu 324.75,1.428
Barren,Cu 324.75,1.406
Cabeza puntual retorno,Cu 324.75,1.450
Celda # 11-A,Cu 324.75,0.778
Celda # 11-B,Cu 324.75,1.268
Celda # 11-C,Cu 324.75,0.533
Celda #5-9,Cu 324.75,1.121
Celda #(F1+F2),Cu 324.75,1.465
NE Tubo 1,Cu 324.75,0.185
NE Tubo 2,Cu 324.75,0.496
NE Tubo 4,Cu 324.75,0.425
NE Tubo 5,Cu 324.75,0.688
NE Tubo 6,Cu 324.75,1.375
NE Tubo 7,Cu 324.75,6.001
Puntual Noroeste,Cu 324.75,1.590
Barren Patios,Cu 324.75,1.349
Tubo 3,Cu 324.75,0.551
Especial 1,Cu 324.75,1.907
Especial 2,Cu 324.75,0.249
Especial 3,Cu 324.75,0.239
Especial 4,Cu 324.75,0.296
Especial 5,Cu 324.75,0.253
