Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.133
Comp. Cola Columna,Au 242.80,0.012
Barren,Au 242.80,0.014
Cabeza puntual retorno,Au 242.80,0.131
Celda # 11-A,Au 242.80,0.035
Celda # 11-B,Au 242.80,0.018
Celda # 11-C,Au 242.80,0.001
Celda #5-9,Au 242.80,0.016
Celda #(F1+F2),Au 242.80,0.136
NE Tubo 1,Au 242.80,-2
NE Tubo 2,Au 242.80,0.082
NE Tubo 4,Au 242.80,0.113
NE Tubo 5,Au 242.80,0.056
NE Tubo 6,Au 242.80,0.054
NE Tubo 7,Au 242.80,0.126
Puntual Noroeste,Au 242.80,0.132
Barren Patios,Au 242.80,0.004
Tubo 3,Au 242.80,0.199
Especial 1,Au 242.80,0.08
Especial 2,Au 242.80,0.048
Especial 3,Au 242.80,0.069
Especial 4,Au 242.80,0.057
Especial 5,Au 242.80,0.029
Columna #1,Au 242.80,0.071
Columna #2,Au 242.80,0.03
Columna #3,Au 242.80,0.024
Columna #4,Au 242.80,0.007
Columna #5,Au 242.80,0.002
