Sample ID,Analyte Name,Reported Conc (Samp)
PATRON,Au 242.80,0.923
BLANCO,Au 242.80,-0.001
REAGENT BLANK,Au 242.80,-0.005
LC000851-011,Au 242.80,0.968
LC000851-012,Au 242.80,0.216
LC000851-013,Au 242.80,1.540
LC000851-015,Au 242.80,1.352
LC000851-016,Au 242.80,0.576
LC000851-017,Au 242.80,0.112
PATRON,Au 242.80,0.889
LC000851-018,Au 242.80,0.095
PATRON,Au 242.80,0.893
BLANCO,Au 242.80,-0.002
REAGENT BLANK,Au 242.80,0.001
