Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Au 242.80,0.159
Columna #2,Au 242.80,0.111
Columna #3,Au 242.80,0.058
Columna #4,Au 242.80,0.034
Columna #5,Au 242.80,0.012
Comp. Cabeza Columna,Au 242.80,0.168
Cabeza puntual retorno,Au 242.80,0.168
Celda # 11-A,Au 242.80,0.137
Celda # 11-B,Au 242.80,0.268
Celda # 11-C,Au 242.80,0.269
Celda #(F1+F2),Au 242.80,0.161
NE Tubo 1,Au 242.80,0.142
NE Tubo 2,Au 242.80,0.123
NE Tubo 4,Au 242.80,0.222
NE Tubo 5,Au 242.80,0.197
NE Tubo 6,Au 242.80,0.095
NE Tubo 7,Au 242.80,0.324
Puntual Noroeste,Au 242.80,0.163
Tubo 3,Au 242.80,0.128
Especial 1,Au 242.80,0.080
Especial 2,Au 242.80,0.034
Especial 3,Au 242.80,0.014
Especial 4,Au 242.80,0.020
Especial 5,Au 242.80,0.004
Comp. Cola Columna,Au 242.80,0.007
Barren,Au 242.80,0.014
Celda #5-9,Au 242.80,0.002
Barren Patios,Au 242.80,0.021
