Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.278
Cabeza puntual retorno,Cu 324.75,0.284
Celda #(F1+F2),Cu 324.75,0.326
Puntual Noroeste,Cu 324.75,0.331
Tubo 3,Cu 324.75,0.105
NE Tubo 2,Cu 324.75,0.064
NE Tubo 4,Cu 324.75,0.051
Especial 1,Cu 324.75,0.053
Especial 2,Cu 324.75,0.06
Especial 3,Cu 324.75,0.066
Especial 4,Cu 324.75,0.062
Especial 5,Cu 324.75,0.174
Comp. Cola Columna,Cu 324.75,0.118
Barren,Cu 324.75,0.274
Barren Patios,Cu 324.75,0.169
NE Tubo 1,Cu 324.75,0.281
NE Tubo 5,Cu 324.75,0.037
NE Tubo 6,Cu 324.75,0.031
NE Tubo 7,Cu 324.75,4.769
Celda # 11-A,Cu 324.75,0.063
Celda # 11-B,Cu 324.75,0.151
Celda # 11-C,Cu 324.75,0.051
Celda # 6-F2,Cu 324.75,0.163
Celda #5-9,Cu 324.75,0.032
