Analyst,Judas Orduño,,,,
Date Started,11/06/2023 3:45 AM  GMT: 10/6/2023 3:59 AM,,,,
Worksheet,LC000467_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
11/06/2023,3:45:30 a.m,PATRON,0.905,,mg/L
11/06/2023,3:45:30 a.m,BLANCO,-0.005,,mg/L
11/06/2023,3:45:30 a.m,REAGENT BLANK,0.001,,mg/L
11/06/2023,3:45:30 a.m,LC000467-001,1.184,,mg/L
11/06/2023,3:45:30 a.m,LC000467-002,1.354,,mg/L
11/06/2023,3:45:30 a.m,LC000467-003,0.957,,mg/L
11/06/2023,3:45:30 a.m,LC000467-004,0.953,,mg/L
11/06/2023,3:45:30 a.m,LC000467-005,0.700,,mg/L
11/06/2023,3:45:30 a.m,LC000467-006,0.809,,mg/L
11/06/2023,3:45:30 a.m,PATRON,0.924,,mg/L
11/06/2023,3:45:30 a.m,LC000467-007,1.521,,mg/L
11/06/2023,3:45:30 a.m,LC000467-008,0.637,,mg/L
11/06/2023,3:45:30 a.m,LC000467-009,1.043,,mg/L
11/06/2023,3:45:30 a.m,LC000467-010,0.978,,mg/L
11/06/2023,3:45:30 a.m,LC000467-011,0.738,,mg/L
11/06/2023,3:45:30 a.m,LC000467-012,0.857,,mg/L
11/06/2023,3:45:30 a.m,PATRON,0.922,,mg/L
11/06/2023,3:45:30 a.m,LC000467-013,0.848,,mg/L
11/06/2023,3:45:30 a.m,LC000467-014,1.997,,mg/L
11/06/2023,3:45:30 a.m,LC000467-015,0.008,,mg/L
11/06/2023,3:45:30 a.m,LC000467-016,0.357,,mg/L
11/06/2023,3:45:30 a.m,LC000467-017,0.219,,mg/L
11/06/2023,3:45:30 a.m,LC000467-018,0.211,,mg/L
11/06/2023,3:45:30 a.m,PATRON,0.903,,mg/L
