Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.194
Cabeza puntual retorno,Cu 324.75,1.187
Celda #(F1+F2),Cu 324.75,1.364
Puntual Noroeste,Cu 324.75,1.482
Tubo 3,Cu 324.75,3.371
NE Tubo 2,Cu 324.75,0.335
NE Tubo 4,Cu 324.75,1.741
Especial 1,Cu 324.75,0.075
Especial 2,Cu 324.75,0.063
Especial 3,Cu 324.75,0.922
Especial 4,Cu 324.75,1.197
Especial 5,Cu 324.75,0.118
Comp. Cola Columna,Cu 324.75,1.248
Barren,Cu 324.75,1.311
Barren Patios,Cu 324.75,1.166
NE Tubo 1,Cu 324.75,0.039
NE Tubo 5,Cu 324.75,0.09
NE Tubo 6,Cu 324.75,0.209
NE Tubo 7,Cu 324.75,0.939
Celda # 11-A,Cu 324.75,0.242
Celda # 11-B,Cu 324.75,0.071
Celda # 11-C,Cu 324.75,0.306
Celda # 6-F2,Cu 324.75,1.573
Celda #5-9,Cu 324.75,0.418
