Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.162
Comp. Cola Columna,Au 242.80,0.004
Barren,Au 242.80,0.017
Cabeza puntual retorno,Au 242.80,0.159
Columna #1,Au 242.80,0.107
Columna #2,Au 242.80,0.071
Columna #3,Au 242.80,0.042
Columna #4,Au 242.80,0.023
Columna #5,Au 242.80,0.008
Celda # 11-A,Au 242.80,0.182
Celda # 11-B,Au 242.80,0.005
Celda # 11-C,Au 242.80,0.152
Celda #5-9,Au 242.80,0.164
Celda #(F1+F2),Au 242.80,0.161
Especial 1,Au 242.80,0.036
Especial 2,Au 242.80,0.05
Especial 3,Au 242.80,0.013
Especial 4,Au 242.80,0.009
Especial 5,Au 242.80,0.08
NE Tubo 1,Au 242.80,0.048
NE Tubo 2,Au 242.80,0.026
NE Tubo 4,Au 242.80,0.261
NE Tubo 5,Au 242.80,0.468
NE Tubo 6,Au 242.80,0.399
NE Tubo 7,Au 242.80,0.391
Puntual Noroeste,Au 242.80,0.215
Barren Patios,Au 242.80,0.004
Tubo 3,Au 242.80,0.114
