Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.870
Cabeza puntual retorno,Cu 324.75,0.811
Celda #(F1+F2),Cu 324.75,0.885
Puntual Noroeste,Cu 324.75,0.054
Tubo 3,Cu 324.75,0.094
Comp. Cola Columna,Cu 324.75,0.746
Barren,Cu 324.75,0.758
Celda # 11-A,Cu 324.75,0.078
Celda # 11-B,Cu 324.75,0.064
Celda # 11-C,Cu 324.75,0.139
Celda #5-9,Cu 324.75,0.060
NE Tubo 1,Cu 324.75,0.004
NE Tubo 2,Cu 324.75,0.029
NE Tubo 4,Cu 324.75,0.010
NE Tubo 5,Cu 324.75,0.027
NE Tubo 6,Cu 324.75,0.033
NE Tubo 7,Cu 324.75,0.014
Barren Patios,Cu 324.75,0.605
Especial 1,Cu 324.75,0.126
Especial 2,Cu 324.75,0.086
Especial 3,Cu 324.75,0.074
Especial 4,Cu 324.75,0.033
Especial 5,Cu 324.75,0.076
Columna #1,Cu 324.75,0.697
Columna #2,Cu 324.75,0.618
Columna #3,Cu 324.75,0.666
Columna #4,Cu 324.75,0.591
Columna #5,Cu 324.75,0.666
